data,title
"[{'Distro_Version': '13.0.0', 'Python_version': '2.7.9'}, {'Distro_Version': '12.1.2', 'Python_version': '2.7.9'}, {'Distro_Version': '11.2.1', 'Python_version': '2.7.3'}, {'Distro_Version': '10.2.1', 'Python_version': '2.6.6'}, {'Distro_Version': '9.4.2', 'Python_version': '2.5.2'}, {'Distro_Version': '8.1.1', 'Python_version': '2.5.2'}, {'Distro_Version': '7.4.1', 'Python_version': '2.5.2'}, {'Distro_Version': '6.2.0', 'Python_version': '2.5.2'}, {'Distro_Version': '5.4.2', 'Python_version': '2.3.5'}]",untangle
"[{'Distro_Version': '4.2-0', 'Python_version': '2.7.9'}, {'Distro_Version': '4.0-5', 'Python_version': '2.7.3'}, {'Distro_Version': '3.3-1', 'Python_version': '2.6.8'}]",univention
"[{'Distro_Version': '5.5', 'Python_version': '2.7.13'}, {'Distro_Version': '5.1', 'Python_version': '2.7.11'}, {'Distro_Version': '5.0.1', 'Python_version': '2.7.11'}, {'Distro_Version': '4.9', 'Python_version': '2.7.9'}, {'Distro_Version': '4.4', 'Python_version': '2.7.8'}, {'Distro_Version': '4.2.1', 'Python_version': '2.7.5'}, {'Distro_Version': '4.0', 'Python_version': '2.7.5'}, {'Distro_Version': '3.9', 'Python_version': '2.7.4'}, {'Distro_Version': '3.6', 'Python_version': '2.7.3'}, {'Distro_Version': '3.0.1', 'Python_version': '2.7.1'}, {'Distro_Version': '2.9', 'Python_version': '2.6.6'}, {'Distro_Version': '2.7', 'Python_version': '2.6.5'}, {'Distro_Version': '2.5', 'Python_version': '2.6.4'}, {'Distro_Version': '2.3', 'Python_version': '2.6.2'}, {'Distro_Version': '2.1', 'Python_version': '2.5.2'}, {'Distro_Version': '1.9', 'Python_version': '2.5.2'}, {'Distro_Version': '1.7', 'Python_version': '2.5.1'}]",ultimate
"[{'Distro_Version': '4.0.3', 'Python_version': '2.7.5'}, {'Distro_Version': '4.0.2', 'Python_version': '2.6.5'}, {'Distro_Version': '3.0.4', 'Python_version': '2.6.5'}, {'Distro_Version': '2.0', 'Python_version': '2.5.2'}, {'Distro_Version': '1.02', 'Python_version': '2.4.2'}]",ulteo
"[{'Distro_Version': '3', 'Python_version': '2.7.8'}, {'Distro_Version': '2.2', 'Python_version': '2.6.6'}, {'Distro_Version': 'nerd', 'Python_version': '2.5.1'}, {'Distro_Version': '2.1', 'Python_version': '2.4.3'}, {'Distro_Version': 'bumm', 'Python_version': '2.3.4'}, {'Distro_Version': '2.0', 'Python_version': '2.3.3'}, {'Distro_Version': 'igen', 'Python_version': '2.2.2'}]",uhu
"[{'Distro_Version': '17.04', 'Python_version': '2.7.13'}, {'Distro_Version': 'zesty', 'Python_version': '2.7.11'}, {'Distro_Version': '16.10', 'Python_version': '2.7.11'}, {'Distro_Version': 'yakkety', 'Python_version': '2.7.9'}, {'Distro_Version': '16.04', 'Python_version': '2.7.9'}, {'Distro_Version': 'xenial', 'Python_version': '2.7.8'}, {'Distro_Version': '15.10', 'Python_version': '2.7.5'}, {'Distro_Version': 'wily', 'Python_version': '2.7.5'}, {'Distro_Version': '15.04', 'Python_version': '2.7.4'}, {'Distro_Version': 'vivid', 'Python_version': '2.7.3'}, {'Distro_Version': '14.10', 'Python_version': '2.7.3'}, {'Distro_Version': 'utopic', 'Python_version': '2.7.2'}, {'Distro_Version': '14.04', 'Python_version': '2.7.1'}, {'Distro_Version': 'trusty', 'Python_version': '2.6.6'}, {'Distro_Version': '13.10', 'Python_version': '2.6.5'}, {'Distro_Version': 'saucy', 'Python_version': '2.6.4rc1'}, {'Distro_Version': '13.04', 'Python_version': '2.6.2'}, {'Distro_Version': 'raring', 'Python_version': '2.5.2'}, {'Distro_Version': '12.10', 'Python_version': '2.5.2'}, {'Distro_Version': 'quantal', 'Python_version': '2.5.1'}, {'Distro_Version': '12.04', 'Python_version': '2.5.1rc1'}]",ubuntustudio
"[{'Distro_Version': '17.04', 'Python_version': '2.7.13'}, {'Distro_Version': 'zesty', 'Python_version': '2.7.11'}, {'Distro_Version': '16.10', 'Python_version': '2.7.11'}, {'Distro_Version': 'yakkety', 'Python_version': '2.7.9'}, {'Distro_Version': '16.04', 'Python_version': '2.7.9'}, {'Distro_Version': 'xenial', 'Python_version': '2.7.8'}, {'Distro_Version': '15.10', 'Python_version': '2.7.5'}]",ubuntumate
"[{'Distro_Version': '17.10-alpha1', 'Python_version': '2.7.13'}, {'Distro_Version': 'artful', 'Python_version': '2.7.13'}, {'Distro_Version': '17.04', 'Python_version': '2.7.11'}, {'Distro_Version': 'zesty', 'Python_version': '2.7.11'}, {'Distro_Version': '16.10', 'Python_version': '2.7.9'}, {'Distro_Version': 'yakkety', 'Python_version': '2.7.9'}, {'Distro_Version': '16.04', 'Python_version': '2.7.8'}, {'Distro_Version': 'xenial', 'Python_version': '2.7.5'}, {'Distro_Version': '15.10', 'Python_version': '2.7.5'}, {'Distro_Version': 'wily', 'Python_version': '2.7.4'}]",ubuntukylin
"[{'Distro_Version': '17.04', 'Python_version': '2.7.13'}, {'Distro_Version': 'zesty', 'Python_version': '2.7.11'}, {'Distro_Version': '16.10', 'Python_version': '2.7.11'}, {'Distro_Version': 'yakkety', 'Python_version': '2.7.9'}, {'Distro_Version': '16.04', 'Python_version': '2.7.9'}, {'Distro_Version': 'xenial', 'Python_version': '2.7.8'}, {'Distro_Version': '15.10', 'Python_version': '2.7.5'}, {'Distro_Version': 'wily', 'Python_version': '2.7.5'}, {'Distro_Version': '15.04', 'Python_version': '2.7.4'}]",ubuntugnome
"[{'Distro_Version': '17.04', 'Python_version': '2.7.13'}, {'Distro_Version': 'zesty', 'Python_version': '2.7.11'}, {'Distro_Version': '16.10', 'Python_version': '2.7.11'}]",ubuntubudgie
